year,component,recall_count
2022,SERVICE BRAKES,2
2022,"SERVICE BRAKES, AIR",18
2022,"SERVICE BRAKES, HYDRAULIC",34
2022,STEERING,78
2022,STRUCTURE,54
2022,SUSPENSION,37
2022,TIRES,38
2022,TRAILER HITCHES,5
2022,VEHICLE SPEED CONTROL,2
2022,VISIBILITY,24
2022,WHEELS,11
2023,AIR BAGS,45
2023,BACK OVER PREVENTION,34
2023,CHILD SEAT,9
2023,ELECTRICAL SYSTEM,211
2023,ELECTRONIC STABILITY CONTROL (ESC),10
2023,ENGINE,12
2023,ENGINE AND ENGINE COOLING,24
2023,EQUIPMENT,135
2023,EQUIPMENT ADAPTIVE/MOBILITY,7
2023,EXTERIOR LIGHTING,41
2023,FORWARD COLLISION AVOIDANCE,4
2023,"FUEL SYSTEM, DIESEL",9
2023,"FUEL SYSTEM, GASOLINE",33
2023,LATCHES/LOCKS/LINKAGES,11
2023,PARKING BRAKE,18
2023,POWER TRAIN,64
2023,SEAT BELTS,26
2023,SEATS,24
2023,SERVICE BRAKES,4
2023,"SERVICE BRAKES, AIR",9
2023,"SERVICE BRAKES, HYDRAULIC",34
2023,STEERING,51
2023,STRUCTURE,80
2023,SUSPENSION,35
2023,TIRES,23
2023,TRAILER HITCHES,10
2023,VEHICLE SPEED CONTROL,7
2023,VISIBILITY,17
2023,VISIBILITY/WIPER,3
2023,WHEELS,10
2024,AIR BAGS,28
2024,BACK OVER PREVENTION,17
2024,ELECTRICAL SYSTEM,107
2024,ELECTRONIC STABILITY CONTROL (ESC),6
2024,ENGINE,1
2024,ENGINE AND ENGINE COOLING,11
2024,EQUIPMENT,83
2024,EQUIPMENT ADAPTIVE/MOBILITY,6
2024,EXTERIOR LIGHTING,22
2024,FORWARD COLLISION AVOIDANCE,4
2024,"FUEL SYSTEM, DIESEL",5
2024,"FUEL SYSTEM, GASOLINE",9
2024,"FUEL SYSTEM, OTHER",4
2024,LANE DEPARTURE,1
2024,LATCHES/LOCKS/LINKAGES,5
2024,PARKING BRAKE,13
2024,POWER TRAIN,26
2024,SEAT BELTS,14
2024,SEATS,20
2024,SERVICE BRAKES,1
2024,"SERVICE BRAKES, AIR",9
2024,"SERVICE BRAKES, HYDRAULIC",11
2024,STEERING,43
2024,STRUCTURE,25
2024,SUSPENSION,11
2024,TIRES,13
2024,TRACTION CONTROL SYSTEM,1
2024,TRAILER HITCHES,4
2024,VEHICLE SPEED CONTROL,2
2024,VISIBILITY,13
2024,WHEELS,4
